nc,r,elapsed_ms
1,1,5.0
1,2,7.0
1,3,6.0
1,4,2.0
1,5,7.0
5,1,6.8
5,2,9.4
5,3,11.0
5,4,4.0
5,5,13.4
9,1,8.88888888888889
9,2,9.11111111111111
9,3,9.222222222222221
9,4,10.88888888888889
9,5,14.11111111111111
13,1,11.076923076923077
13,2,13.153846153846153
13,3,16.46153846153846
13,4,18.46153846153846
13,5,15.692307692307692
17,1,24.823529411764707
17,2,23.764705882352942
17,3,18.11764705882353
17,4,21.176470588235293
17,5,21.058823529411764
21,1,30.333333333333332
21,2,31.142857142857142
21,3,32.19047619047619
21,4,20.476190476190474
21,5,32.285714285714285
25,1,40.48
25,2,43.28
25,3,39.48
25,4,35.2
25,5,34.96
29,1,43.93103448275862
29,2,49.37931034482759
29,3,43.13793103448276
29,4,43.758620689655174
29,5,41.41379310344828
